date,cases,deaths,temp,rainfall,humidity
200001,0,0,18.751612903225805,13.0,71.51612903225806
200002,0,0,20.79,44.0,60.89655172413793
200003,0,0,25.509677419354833,172.0,62.483870967741936
200004,0,0,27.91290322580645,189.0,73.1
200005,0,0,27.96451612903226,423.0,77.29032258064517
200006,0,0,29.13548387096774,165.0,79.8
200007,565,15,28.977419354838705,197.0,79.54838709677419
200008,2290,33,29.109677419354842,356.0,80.74193548387096
200009,951,18,28.619354838709675,216.0,80.53333333333333
200010,835,14,27.506451612903223,278.0,80.87096774193549
200011,724,11,24.490322580645163,0.0,72.33333333333333
200012,186,2,20.148387096774194,0.0,68.38709677419355
200101,0,0,18.383870967741938,0.0,62.67741935483871
200102,0,0,22.613793103448277,1.0,61.714285714285715
200103,0,0,26.616129032258065,32.0,55.29032258064516
200104,0,0,29.061290322580643,46.0,66.33333333333333
200105,5,0,27.687096774193545,401.0,78.16129032258064
200106,24,1,28.025806451612905,386.0,83.83333333333333
200107,152,0,28.829032258064515,200.0,81.80645161290323
200108,310,6,29.46451612903226,205.0,81.0
200109,655,11,28.70967741935484,209.0,82.03333333333333
200110,611,7,27.629032258064512,166.0,81.0
200111,514,14,24.509677419354837,18.0,77.8
200112,159,5,19.8483870967742,0.0,74.51612903225806
200201,0,0,19.712903225806453,22.0,67.90322580645162
200202,0,0,22.56551724137931,4.0,57.464285714285715
200203,0,0,26.254838709677422,51.0,58.096774193548384
200204,0,0,27.561290322580643,111.0,72.46666666666667
200205,0,0,27.83870967741936,272.0,78.09677419354838
200206,0,0,28.319354838709675,373.0,83.6
200207,566,12,28.52258064516129,445.0,84.51612903225806
200208,3281,28,28.616129032258062,272.0,81.45161290322581
200209,1713,10,28.919354838709673,156.0,78.13333333333334
200210,541,7,27.364516129032257,52.0,74.54838709677419
200211,121,1,24.022580645161288,36.0,73.7
200212,10,0,20.293548387096767,0.0,73.74193548387096
200301,0,0,16.235483870967744,0.0,75.0
